"";"Código.da.IES";"Categoria.Administrativa"
"1";1;"Pública Federal"
"3";2;"Pública Federal"
"4";3;"Pública Federal"
"6";5;"Pública Federal"
"8";8;"Pública Federal"
"9";9;"Pública Estadual"
"10";10;"Privada sem fins lucrativos"
"12";13;"Privada sem fins lucrativos"
"13";17;"Pública Federal"
"14";20;"Privada sem fins lucrativos"
"15";24;"Pública Estadual"
"16";27;"Privada sem fins lucrativos"
"17";29;"Pública Estadual"
"18";30;"Privada sem fins lucrativos"
"19";43;"Pública Estadual"
"20";56;"Pública Estadual"
"23";57;"Pública Estadual"
"24";76;"Pública Municipal"
"25";82;"Privada sem fins lucrativos"
"28";138;"Privada sem fins lucrativos"
"29";140;"Privada sem fins lucrativos"
"30";142;"Privada sem fins lucrativos"
"31";143;"Privada sem fins lucrativos"
"32";146;"Privada com fins lucrativos"
"33";150;"Privada sem fins lucrativos"
"34";163;"Privada com fins lucrativos"
"35";167;"Privada sem fins lucrativos"
"36";176;"Privada sem fins lucrativos"
"37";203;"Privada com fins lucrativos"
"38";207;"Privada sem fins lucrativos"
"39";221;"Privada com fins lucrativos"
"40";265;"Privada sem fins lucrativos"
"41";271;"Privada sem fins lucrativos"
"42";296;"Privada sem fins lucrativos"
"44";298;"Privada com fins lucrativos"
"46";308;"Privada sem fins lucrativos"
"47";319;"Privada sem fins lucrativos"
"49";322;"Privada com fins lucrativos"
"53";330;"Privada sem fins lucrativos"
"54";338;"Privada sem fins lucrativos"
"56";343;"Privada com fins lucrativos"
"57";349;"Privada com fins lucrativos"
"58";355;"Privada com fins lucrativos"
"59";374;"Privada sem fins lucrativos"
"60";375;"Privada sem fins lucrativos"
"61";383;"Privada com fins lucrativos"
"62";385;"Privada com fins lucrativos"
"63";387;"Privada sem fins lucrativos"
"64";404;"Privada sem fins lucrativos"
"65";420;"Privada com fins lucrativos"
"66";430;"Privada sem fins lucrativos"
"67";437;"Privada sem fins lucrativos"
"68";439;"Privada sem fins lucrativos"
"69";441;"Privada sem fins lucrativos"
"70";446;"Privada sem fins lucrativos"
"71";448;"Privada com fins lucrativos"
"72";449;"Privada sem fins lucrativos"
"73";450;"Privada com fins lucrativos"
"74";453;"Privada sem fins lucrativos"
"75";457;"Privada com fins lucrativos"
"77";466;"Privada com fins lucrativos"
"78";472;"Privada com fins lucrativos"
"79";480;"Privada sem fins lucrativos"
"80";481;"Privada sem fins lucrativos"
"81";490;"Privada sem fins lucrativos"
"82";494;"Privada sem fins lucrativos"
"83";495;"Pública Municipal"
"84";496;"Privada com fins lucrativos"
"85";502;"Privada com fins lucrativos"
"86";514;"Privada sem fins lucrativos"
"87";515;"Privada com fins lucrativos"
"88";532;"Privada sem fins lucrativos"
"89";549;"Pública Federal"
"90";568;"Pública Estadual"
"91";569;"Pública Federal"
"92";571;"Pública Federal"
"94";572;"Pública Federal"
"95";573;"Pública Federal"
"96";574;"Pública Federal"
"97";575;"Pública Federal"
"98";576;"Pública Federal"
"99";577;"Pública Federal"
"100";578;"Pública Federal"
"101";579;"Pública Federal"
"102";581;"Pública Federal"
"103";582;"Pública Federal"
"104";584;"Pública Federal"
"106";585;"Pública Federal"
"107";587;"Pública Federal"
"109";589;"Pública Federal"
"110";590;"Pública Federal"
"111";592;"Pública Federal"
"112";596;"Pública Federal"
"113";621;"Privada sem fins lucrativos"
"114";634;"Pública Federal"
"115";661;"Privada com fins lucrativos"
"116";664;"Privada sem fins lucrativos"
"117";669;"Privada sem fins lucrativos"
"118";671;"Privada com fins lucrativos"
"119";673;"Privada sem fins lucrativos"
"120";694;"Pública Federal"
"121";699;"Pública Federal"
"122";707;"Privada com fins lucrativos"
"123";718;"Privada com fins lucrativos"
"124";757;"Privada com fins lucrativos"
"125";763;"Privada com fins lucrativos"
"126";780;"Privada com fins lucrativos"
"127";789;"Pública Federal"
"128";826;"Privada com fins lucrativos"
"129";953;"Privada sem fins lucrativos"
"130";1027;"Pública Estadual"
"131";1038;"Privada sem fins lucrativos"
"132";1045;"Privada com fins lucrativos"
"133";1046;"Privada sem fins lucrativos"
"134";1053;"Privada com fins lucrativos"
"135";1078;"Privada com fins lucrativos"
"136";1087;"Privada sem fins lucrativos"
"137";1126;"Pública Estadual"
"138";1129;"Privada sem fins lucrativos"
"139";1157;"Privada sem fins lucrativos"
"140";1166;"Pública Federal"
"141";1196;"Privada com fins lucrativos"
"142";1230;"Privada sem fins lucrativos"
"143";1245;"Privada com fins lucrativos"
"144";1281;"Privada com fins lucrativos"
