 Ano; Código da Área; Área de Avaliação; Código da IES; Nome da IES; Sigla da IES; Organização Acadêmica; Categoria Administrativa; Código do Curso; Modalidade de Ensino; Código do Município; Município do Curso; Sigla da UF; Nº de Concluintes Inscritos; Nº de Concluintes Participantes; Nota Bruta - FG; Nota Padronizada - FG; Nota Bruta - CE; Nota Padronizada - CE; Conceito Enade (Contínuo); Concluintes participantes com nota no Enem; Proporção de concluintes participantes com nota no Enem; Nota Bruta - IDD; Nota Padronizada - IDD; Nota Bruta – Organização Didático-Pedagógica; Nota Padronizada - Organização Didático-Pedagógica; Nota Bruta – Infraestrutura e Instalações Físicas; Nota Padronizada - Infraestrutura e Instalações Físicas; Nota Bruta – Oportunidade de Ampliação da Formação; Nota Padronizada - Oportunidade de Ampliação da Formação; Nota Bruta - Mestres; Nota Padronizada - Mestres; Nota Bruta - Doutores; Nota Padronizada - Doutores; Nota Bruta – Regime de Trabalho; Nota Padronizada - Regime de Trabalho; CPC (Contínuo); CPC (Faixa);Observação
2019;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;37;Educação Presencial;5103403;Cuiabá;MT;23;20;42,815;2,757;57,799;3,1362;3,041;19;0,949;-0,793;1,517;4,762;1,937;4,538;2,379;4,579;2,745;1;5;0,938;4,642;1;5;2,918;3;
2019;5;MEDICINA VETERINÁRIA;1;UNIVERSIDADE FEDERAL DE MATO GROSSO;UFMT;Universidade;Pública Federal;100763;Educação Presencial;5107909;Sinop;MT;46;39;42,112;2,639;55,728;2,7651;2,733;36;0,923;-0,2;2,226;4,414;1,078;4,202;1,778;4,115;2,008;0,936;3,905;0,829;4,007;1;5;2,815;3;
2019;5;MEDICINA VETERINÁRIA;2;UNIVERSIDADE DE BRASÍLIA;UNB;Universidade;Pública Federal;18031;Educação Presencial;5300108;Brasília;DF;129;119;50,605;4,069;59,002;3,3516;3,531;97;0,815;-0,075;2,377;4,523;1,347;4,118;1,627;4,39;2,445;0,982;4,693;0,91;4,479;1;5;3,18;4;
2019;5;MEDICINA VETERINÁRIA;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;1108067;Educação Presencial;2806701;São Cristóvão;SE;47;39;45,774;3,255;56,966;2,987;3,054;29;0,743;0,402;2,948;4,413;1,075;3,917;1,266;3,815;1,531;0,923;3,681;0,833;4,027;1;5;3,08;4;
2019;5;MEDICINA VETERINÁRIA;3;UNIVERSIDADE FEDERAL DE SERGIPE;UFS;Universidade;Pública Federal;1321453;Educação Presencial;2804508;Nossa Senhora da Glória;SE;28;25;43,54;2,879;51,78;2,058;2,263;25;1;-0,195;2,232;5,421;3,568;3,953;1,332;4,255;2,231;1;5;0,944;4,675;1;5;3,075;4;
2019;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;504;Educação Presencial;2211001;Teresina;PI;64;62;43,235;2,828;54,522;2,5492;2,618;53;0,854;-0,239;2,18;4,597;1,528;4,881;2,994;4,351;2,383;0,958;4,295;0,794;3,801;1;5;2,878;3;
2019;5;MEDICINA VETERINÁRIA;5;UNIVERSIDADE FEDERAL DO PIAUÍ;UFPI;Universidade;Pública Federal;102675;Educação Presencial;2201903;Bom Jesus;PI;68;65;38,72;2,067;48,736;1,5129;1,651;60;0,923;-0,706;1,621;5,159;2,921;4,874;2,983;4,891;3,24;0,976;4,601;0,72;3,372;1;5;2,572;3;
2019;5;MEDICINA VETERINÁRIA;8;UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;Universidade;Pública Federal;695;Educação Presencial;3171303;Viçosa;MG;62;58;60,963;5;67,139;4,8091;4,856;57;0,982;-0,006;2,459;5,01;2,551;5,228;3,616;4,956;3,342;1;5;0,971;4,833;1;5;3,762;4;
2019;5;MEDICINA VETERINÁRIA;9;UNIVERSIDADE ESTADUAL DE LONDRINA;UEL;Universidade;Pública Estadual;777;Educação Presencial;4113700;Londrina;PR;80;76;52,126;4,325;65,897;4,5865;4,521;67;0,881;1,368;4,105;4,694;1,769;4,163;1,708;4,622;2,812;0,957;4,27;0,914;4,503;1;5;4;5;
2019;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;60123;Educação Presencial;4127700;Toledo;PR;34;33;39,09;2,129;51,363;1,9834;2,02;31;0,939;0,105;2,592;5,668;4,18;5,695;4,454;5,813;4,703;1;5;0,526;2,236;0,842;3,717;2,954;4;
2019;5;MEDICINA VETERINÁRIA;10;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ;PUCPR;Universidade;Privada sem fins lucrativos;1268241;Educação Presencial;4106902;Curitiba;PR;79;71;45,523;3,213;55,15;2,6617;2,799;64;0,901;0,035;2,509;5,936;4,842;5,963;4,935;5,901;4,843;1;5;0,711;3,314;0,955;4,638;3,389;4;
