;CPC_Contínuo;faixa;média_p;média_pf
MEDICINA;3.334;4;3.0792;3.1763
ENFERMAGEM;3.753;4;3.1164;3.3016
NUTRIÇÃO;3.455;4;3.2868;3.4365
FISIOTERAPIA;4.04;5;3.1861;3.4681
BIOMEDICINA;3.467;4;3.1629;3.1581
EDUCAÇÃO FÍSICA (BACHARELADO);3.54;4;2.9159;3.1821
ENGENHARIA CIVIL;3.432;4;3.218;3.3188
ENGENHARIA ELÉTRICA;3.374;4;3.192;3.2456
ENGENHARIA MECÂNICA;3.125;4;3.0021;3.0505
ENGENHARIA DE ALIMENTOS;3.294;4;3.034;3.0381
ENGENHARIA QUÍMICA;3.526;4;3.2262;3.2677
ENGENHARIA DE PRODUÇÃO;3.309;4;3.1201;3.2465
ENGENHARIA AMBIENTAL;3.024;4;3.1121;3.2323
