;Nota.Padronizada...Infraestrutura.e.Instalações.Físicas;media_p;media_pf
MEDICINA;2,564;2,4993;2,5977
ENFERMAGEM;3,488;2,6249;2,7244
NUTRIÇÃO;3,682;2,706;2,8269
FISIOTERAPIA;3,737;2,2783;2,3517
BIOMEDICINA;2,238;2,2288;2,0878
EDUCAÇÃO FÍSICA (BACHARELADO);2,817;2,0904;1,9874
ENGENHARIA CIVIL;2,273;2,5097;2,6166
ENGENHARIA ELÉTRICA;2,036;2,372;2,4507
ENGENHARIA MECÂNICA;2,498;2,3048;2,3497
ENGENHARIA DE ALIMENTOS;1,817;2,3033;2,3256
ENGENHARIA QUÍMICA;3,831;2,4854;2,4953
ENGENHARIA DE PRODUÇÃO;1,732;2,3222;2,3959
ENGENHARIA AMBIENTAL;2,064;2,5461;2,5933
